,,,Name,Section/Column,Copyright,XP,Instructor,Style,Topic Filter,Difficulty,Asset Folder,Video ID - Workouts,Duration,SSID - Workouts,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Thumbnail Prep,Thumbnail name,Video Host
,,,Beginner Paradiddles,January Workouts/Challenges,No,100,Dave Atkinson,,Creativity,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,880199726,645,vmrwc,Warm-Up:35,Paradiddle On The Snare Drum:75,Paradiddle On The Drum-Set:253,Paradiddle Groove - Slow:324,Paradiddle Groove - Fast:511,Wrap-Up:600,beginner paradiddles.jpg,beginner-paradiddles.jpg,Vimeo
,,,Introduction To Double Bass,January Workouts/Challenges,No,100,Aaron Edgar,,Essentials,3,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,875735970,620,1H6wc,Pattern #1:22,Patterns #2-3:76,Pattern #4:211,Patterns #5-6:277,Pattern #7:442,Pattern #8:523,introduction to double bass.jpg,introduction-to-double-bass.jpg,Vimeo
,,,Paradiddle Chops,January Workouts/Challenges,No,150,Zack Grooves,,Creativity,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,880195162,300,2VcYc,Intro:0,One-Beat Phrase Chops:22,Two-Beat Phrase Chops:77,Combining With Doubles On Hi-Hat:187,Combining With Doubles On Ride & Hi-Hat:241,Wrap-Up:296,paradiddle chops.jpg,paradiddle-chops.jpg,Vimeo
,,,Four-On-The-Floor Variations,January Workouts/Challenges,No,100,Aaron Edgar,,Grooves,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,875736697,380,zmrwc,Intro:0,Upbeat Closed Hi-Hat:15,Upbeat Ride Bell:137,Upbeat Open Hi-Hat:261,Wrap-Up:368,,fouronthefloor variations.jpg,fouronthefloor-variations.jpg,Vimeo
,,,Stick Control - Page 1,January Workouts/Challenges,No,100,Heather Thomas,,Practice Pad,3,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,881048810,1603,PK2Yc,Singles:50,Doubles:177,Paradiddles:305,Three & Four On-A-Hand:560,Mixing It Up:879,Wrap-Up:1580,stick control page 1.jpg,stick-control-page-1.jpg,Vimeo
,,,Intermediate Pad Warm-Up,January Workouts/Challenges,No,150,Emmanuelle Caplette,,Practice Pad,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,878832784,366,vnqYc,Single Strokes:43,Double Strokes:100,Singles With Diddles:148,Accents And Diddles:225,Paradiddle Variations:254,Wrap-Up:343,intermediate pad warmup.jpg,intermediate-pad-warmup.jpg,Vimeo
,,,Beginner Dynamics,January Workouts/Challenges,No,100,Aaron Edgar,,Essentials,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,875712184,679,mgDYc,Quiet & Loud Hand Dynamics:29,Quiet & Loud Foot Dynamics:149,Dynamics Between Both Hands:269,Dynamics Between Hand & Foot:395,Crescendoing & Decrescendoing:515,Wrap-Up:659,beginner dynamics.jpg,beginner-dynamics.jpg,Vimeo
,,,Beginner Pad Warm-Up,January Workouts/Challenges,No,100,Emmanuelle Caplette,,Practice Pad,3,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,878832669,363,9FqYc,8th Notes:41,16th Notes:89,Double Strokes:149,Accents:269,Wrap-Up:344,,beginner pad warmup.jpg,beginner-pad-warmup.jpg,Vimeo
,,,Hand Technique For Grooves,January Workouts/Challenges,No,150,Bruce Becker,,Grooves,5,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,884874438,698,DhyYc,8th Note Hi-Hats Using French Grip:22,8th Note Hi-Hats Using German Grip:73,16th Note Hi-Hats Using German Grip:124,16th Note Hi-Hats Using French Grip:176,16th Note Hi-Hats Using Push/Pull Technique:227,Wrap-Up:681,hand technique for grooves.jpg,hand-technique-for-grooves.jpg,Vimeo
,,,Bass Drum Endurance,January Workouts/Challenges,No,100,Brandon Toews,,Essentials,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887416872,348,VGyYc,Intro:0,Quarter Notes:26,8th Notes:57,16th Notes:115,Wrap-Up:321,,bass drum endurance.jpg,bass-drum-endurance.jpg,Vimeo
,,,Double Bass Endurance,January Workouts/Challenges,No,150,Travis Regnier,,Essentials,5,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887416064,304,8cyYc,Intro:0,Right Foot:8,Left Foot:86,Both Feet - 8th Notes:159,Both Feet - 16th Notes:233,Wrap-Up:290,double bass endurance.jpg,double-bass-endurance.jpg,Vimeo
,,,Quarter Note Brush Sweeping,January Workouts/Challenges,No,100,Frank Bellucci,,Essentials,3,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,886579375,618,9GCYc,Intro:0,Both Hands Sweeping:18,Right Hand Sweeping:83,Left Hand Sweeping:131,Combining Both Hands:158,Wrap-Up:594,quarter note brush sweeping.jpg,quarter-note-brush-sweeping.jpg,Vimeo
,,,Dirk's Metal Warm-Up,January Workouts/Challenges,No,200,Dirk Verbeuren,,Creativity,8,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,882283295,344,gqpwc,Single Stroke Roll For Hands:29,Blast Beat:77,Single Stroke Roll For Hands & Feet:125,Sextuplet:192,Sextuplet & 32nd Notes:240,Wrap-Up:305,dirks metal warmup.jpg,dirks-metal-warmup.jpg,Vimeo
,,,Weak Hand Warm-Up,January Workouts/Challenges,No,100,Brandon Toews,,Practice Pad,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887416485,617,fR4Yc,Intro:0,8th Notes Alternative Hands:34,8th & 16th Notes Alternative Hands:130,8th Notes Weaker Hand:252,16th Notes Weaker Hand:367,Wrap-Up:617,weak hand warmup.jpg,weak-hand-warmup.jpg,Vimeo
,,,Beginner Rock Beats,January Workouts/Challenges,No,100,Brandon Toews,,Grooves,3,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887362823,1829,DMYYc,Quarter Note Beats:34,8th Note Beats:386,Quarter & 8th Note Beat:1103,16th Note Beats:1224,8th & 16th Note Beat:1691,Wrap-Up:1794,beginner rock beats.jpg,beginner-rock-beats.jpg,Vimeo
,,,Bass Drum Double Strokes,January Workouts/Challenges,No,150,Brandon Toews,,Creativity,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887361938,629,yj4Yc,"Doubles On ""1e, 2e, 3e, And 4e"":85","Doubles On ""e&"":157","Doubles On ""&ah"":277","Doubles On ""ah1, ah2, ah3, And ah4"":401",Combination:541,Wrap-Up:629,bass drum double strokes.jpg,bass-drum-double-strokes.jpg,Vimeo
,,,Introduction To Cross-Stick,January Workouts/Challenges,No,100,Brandon Toews,,Essentials,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887420897,736,mbwYc,Basic Cross-Stick:106,Adding Hi-Hat:220,Adding Bass Drum:346,Quarter Note Cross-Stick With Hi-Hat:460,Quarter Note Cross-Stick With Ride:574,Wrap-Up:682,introduction to crossstick.jpg,introduction-to-crossstick.jpg,Vimeo
,,,Bass Drum Techniques,January Workouts/Challenges,No,100,Brandon Toews,,Essentials,1,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887357781,685,H1wYc,Heel Up Technique:58,Heel Down Technique:154,Heel Up Technique With Hi-Hat:274,Heel Down Technique With Hi-Hat:412,Combination:544,Wrap-Up:646,bass drum techniques.jpg,bass-drum-techniques.jpg,Vimeo
,,,The Money Beat,January Workouts/Challenges,No,100,Brandon Toews,,Essentials,1,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887362310,652,GY4Yc,Intro:0,Quarter Note Hi-Hat & Snare:44,Quarter Note Hi-Hat & Bass Drum:152,Quarter Note Money Beat:276,8th Note Money Beat:392,Wrap-Up:632,the money beat.jpg,the-money-beat.jpg,Vimeo
,,,Billie Jean Groove Discipline,January Workouts/Challenges,No,100,Jonathan Moffett,,Grooves,3,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,888802169,458,FY4Yc,Intro:0,Main Groove:82,Wrap-Up:437,,,,billie jean groove discipline.jpg,billie-jean-groove-discipline.jpg,Vimeo
,,,Jazz Swing Brush Foundations,January Workouts/Challenges,No,100,Ulysses Owens Jr.,Jazz,Essentials,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887412497,1266,RmyYc,Intro:0,Clockwise & Counterclockwise Patterns:38,Ballad Pattern:421,Brush Patterns With Hi-Hat Foot:570,Brush Patterns With Bass Drum:888,Wrap-Up:1187,jazz swing brush foundations.jpg,jazz-swing-brush-foundations.jpg,Vimeo
,,,Jazz Comping Foundations,January Workouts/Challenges,No,150,Ulysses Owens Jr.,Jazz,Creativity,5,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,881055150,1951,QKSwc,Downbeat Comping:80,Upbeat Comping:219,Triplet Comping:456,Snare & Bass Drum Comping #1:959,Snare & Bass Drum Comping #2:1178,Wrap-Up:1351,jazz comping foundations.jpg,jazz-comping-foundations.jpg,Vimeo
,,,RLL Sticking Pattern,January Workouts/Challenges,No,100,J.P. Bouvet,,Creativity,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,886614432,751,FLwYc,On The Snare Drum:45,Around The Toms:204,Adding The Crash:285,Playing Ghosted Accents:401,Improvise Over Trading 4s & 8s:540,Wrap-Up:715,rll sticking pattern.jpg,rll-sticking-pattern.jpg,Vimeo
,,,Six Stroke Roll Variations,January Workouts/Challenges,No,150,J.P. Bouvet,,Creativity,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,886615360,666,kq2Yc,Accents On Snare And Toms:56,Accents On Crash And Kick:368,Fill With Singles:560,Wrap-Up:632,,,six stroke roll variations.jpg,six-stroke-roll-variations.jpg,Vimeo
,,,Triplet Combinations,January Workouts/Challenges,No,150,J.P. Bouvet,,Creativity,6,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,886615974,769,PzlYc,On The Snare Drum:86,Around The Toms:233,New Pattern On Snare:333,New Pattern Around The Toms:475,Adding Singles:575,Wrap-Up:694,triplet combinations.jpg,triplet-combinations.jpg,Vimeo
,,,Intermediate Independence Challenge,January Workouts/Challenges,No,150,Thomas Lang,,Creativity,7,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887407260,1631,wNlYc,Quarter Note Hi-Hat Foot:42,8th Note Single Stroke Roll:192,8th Note Paradiddle:646,16th Note Single Stroke Roll:968,16th Note Paradiddle:1321,Wrap-Up:1587,intermediate independence challenge.jpg,intermediate-independence-challenge.jpg,Vimeo
,,,Weak Side Builder,January Workouts/Challenges,No,150,Brandon Toews,,Creativity,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887417231,632,9w4Yc,Intro:0,Lead Hand Quarter Note:32,Lead Hand 8th Note:211,Lead Hand 16th Note:384,Wrap-Up:602,,weak side builder.jpg,weak-side-builder.jpg,Vimeo
,,,Left Hand Jazz Comping,January Workouts/Challenges,No,150,Bruce Becker,,Creativity,7,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,886574762,587,MtkYc,Intro:0,Quarter Note Triplets:35,8th Note Triplets:121,Ted Reed Syncopation Exercises:304,Around Drum-Set:433,Wrap-Up:558,left hand jazz comping.jpg,left-hand-jazz-comping.jpg,Vimeo
,,,Intermediate Blast Beats,January Workouts/Challenges,No,150,Travis Regnier,,Grooves,6,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,884873987,633,xSDYc,Quarter Note Hyper Blast:13,8th Note Hyper Blast:125,16th Note Economy Blast:237,16th Note Uni-Blast:357,16th Note Bomb Blast:477,Wrap-Up:605,intermediate blast beats.jpg,intermediate-blast-beats.jpg,Vimeo
,,,Doubles Chops,January Workouts/Challenges,No,150,Zack Grooves,,Creativity,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,887478361,294,jy4Yc,Intro:0,On Hi-Hat & Snare:11,On Hi-Hat & Around Toms:65,On Ride:175,On The Ride Bell:230,Wrap-Up:285,doubles chops.jpg,doubles-chops.jpg,Vimeo
,,,Introduction To Brushes,January Workouts/Challenges,No,100,Frank Bellucci,,Essentials,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,886569452,675,kl4Yc,Intro:0,Single Strokes:14,Single-Stroke Sweeps:130,Double Strokes:498,Double-Stroke Sweeps:546,Wrap-Up:634,introduction to brushes.jpg,introduction-to-brushes.jpg,Vimeo
,,,The Half-Time Shuffle,January Workouts/Challenges,No,150,Brandon Toews,,Grooves,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,889997237,564,yc2Yc,Quarter Notes:49,Basic Shuffle:127,Ghost Note On 1st Beat:195,Ghost Note On 2nd Beat:294,Ghost Note On 4th Beat:383,Wrap-Up:534,the halftime shuffle.jpg,the-halftime-shuffle.jpg,Vimeo
,,,Bossa Nova Build-Up,January Workouts/Challenges,No,100,Brandon Toews,Latin/World,Grooves,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,889997458,581,kV2Yc,Intro:0,Bass Drum Pattern:91,First Bar Build-Up:162,Second Bar Build-Up:369,Final Beat:430,Wrap-Up:531,bossa nova buildup.jpg,bossa-nova-buildup.jpg,Vimeo
,,,Fills In 6/8,January Workouts/Challenges,No,150,Brandon Toews,,Creativity,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,889997783,622,JM2Yc,Intro:0,Snare & Bass Drum:62,Snare & Toms:168,Snare & Crash Cymbals:283,Triplet Fills:408,Wrap-Up:484,fills in 68.jpg,fills-in-68.jpg,Vimeo
,,,Grooves In 7/8,January Workouts/Challenges,No,150,Brandon Toews,,Grooves,5,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,889998066,591,SYRYc,Groove 1:23,Groove 2:130,Groove 3:245,Groove 4:349,Grove 5:452,Wrap-Up:567,grooves in 78.jpg,grooves-in-78.jpg,Vimeo
,,,Shuffle Variations,January Workouts/Challenges,No,150,Brandon Toews,,Creativity,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,889998326,590,L52Yc,Intro:0,Basic Shuffle Beat:62,Upbeat Ghost Notes:134,Upbeat & Downbeat Ghost Notes:356,Unison Shuffle Beat:472,Wrap-Up:561,shuffle variations.jpg,shuffle-variations.jpg,Vimeo
,,,Shuffle Build-Up,January Workouts/Challenges,No,150,Brandon Toews,,Grooves,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,889998559,597,mYCYc,Quarter Note Beat:48,Basic Shuffle Beat:126,Adding Hi-Hat Foot:234,Adding Ghost Notes On 1st & 3rd Beat:366,Adding Ghost Notes On 2nd & 4th Beat:462,Wrap-Up:570,shuffle buildup.jpg,shuffle-buildup.jpg,Vimeo
,,,Pat Boone Debby Boone Variations,January Workouts/Challenges,No,100,Brandon Toews,,Creativity,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,889998801,669,pGRYc,Basic Fill:50,New Orchestration:153,Adding Crashes:255,Adding A Flam:396,Around The Toms:511,Wrap-Up:639,pat boone debby boone variations.jpg,pat-boone-debby-boone-variations.jpg,Vimeo
,,,Introduction To 7/8,January Workouts/Challenges,No,100,Brandon Toews,,Creativity,3,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,889999054,559,5BCYc,On The Hi-Hats:38,Adding The Snare:91,Adding The Kick Drum:179,New Pattern:276,Snare On Beat 6:407,Wrap-Up:535,introduction to 78.jpg,introduction-to-78.jpg,Vimeo
,,,Introduction To 6/8,January Workouts/Challenges,No,100,Brandon Toews,,Essentials,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,889999317,640,4tqYc,8th Note Pulse:41,Add Snare Beat 4:136,Add Kick Beat 1:243,Add Kick Beat 6:376,Add 16th Notes:509,Wrap-Up:610,introduction to 68.jpg,introduction-to-68.jpg,Vimeo
